dataset_id,method,family,metric,decision_agreement,pass_fraction,n_seeds,n_seed_pairs,n_definition
heart_cell_atlas_subsampled,GLM-PCA,factor,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,GLM-PCA,factor,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,GLM-PCA,factor,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,GLM-PCA,factor,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PCA,factor,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PCA,factor,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PCA,factor,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PCA,factor,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PHATE,graph,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PHATE,graph,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PHATE,graph,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PHATE,graph,trustworthiness,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PaCMAP,relational,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PaCMAP,relational,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PaCMAP,relational,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,PaCMAP,relational,trustworthiness,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,SAUCIE,deep,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,SAUCIE,deep,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,SAUCIE,deep,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,SAUCIE,deep,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,UMAP,graph,global_rank_corr,0.6,0.2,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,UMAP,graph,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,UMAP,graph,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,UMAP,graph,trustworthiness,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,scScope,deep,global_rank_corr,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,scScope,deep,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,scScope,deep,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,scScope,deep,trustworthiness,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,t-SNE,relational,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,t-SNE,relational,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,t-SNE,relational,local_retention,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
heart_cell_atlas_subsampled,t-SNE,relational,trustworthiness,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,GLM-PCA,factor,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
