dataset_id,method,family,seed_a,seed_b,knn_overlap,distance_rank_concordance,n_cells_evaluated,n_sampled_pairs,k,n_definition
pbmc3k,PCA,factor,0,1,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PCA,factor,0,2,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PCA,factor,0,3,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PCA,factor,0,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PCA,factor,1,2,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PCA,factor,1,3,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PCA,factor,1,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PCA,factor,2,3,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PCA,factor,2,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PCA,factor,3,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,0,1,0.2092494314,0.669450626,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,0,2,0.3276472075,0.9227242597,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,0,3,0.4240080869,0.9509965844,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,0,4,0.2150113723,0.6928098899,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,1,2,0.153297953,0.7110224629,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,1,3,0.1983320697,0.7100975341,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,1,4,0.7793530452,0.9935589012,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,2,3,0.415718979,0.9648470574,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,2,4,0.1544857215,0.7349863674,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,GLM-PCA,factor,3,4,0.2027040687,0.7374247186,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,0,1,0.1607783675,0.7586419889,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,0,2,0.1566085418,0.7829391687,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,0,3,0.1580237554,0.7873395476,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,0,4,0.1608794541,0.7867218921,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,1,2,0.1503664392,0.7749340731,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,1,3,0.1582512004,0.7547114939,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,1,4,0.1592367956,0.7573813321,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,2,3,0.1515542077,0.7822891765,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,2,4,0.1605761941,0.7598671938,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,scScope,deep,3,4,0.1515542077,0.7603379648,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,0,1,0.4298711145,0.9837075062,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,0,2,0.4448572151,0.9918446682,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,0,3,0.4656052565,0.9808042554,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,0,4,0.4298458428,0.9837404599,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,1,2,0.3966894112,0.9913681144,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,1,3,0.4215314632,0.9930592735,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,1,4,0.3856962345,0.9916389967,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,2,3,0.4422795047,0.9893059082,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,2,4,0.4074045994,0.9924929865,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,SAUCIE,deep,3,4,0.4346727319,0.9931946336,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,0,1,0.3298711145,0.7105197485,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,0,2,0.3341167551,0.6896424557,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,0,3,0.3372251706,0.8786923122,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,0,4,0.3381854941,0.9253096604,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,1,2,0.3323730099,0.9749663348,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,1,3,0.3469547637,0.8246262035,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,1,4,0.344250695,0.7813238712,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,2,3,0.3347232752,0.7868565034,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,2,4,0.3485974223,0.7791042896,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,3,4,0.3432650998,0.8941649449,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,0,1,0.4473843821,0.9981281379,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,0,2,0.4492797574,0.9986194686,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,0,3,0.4367197372,0.9953426946,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,0,4,0.3621683093,0.987550295,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,1,2,0.4354056103,0.9979404718,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,1,3,0.4322971948,0.9966021626,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,1,4,0.3515794794,0.9892902513,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,2,3,0.4611827142,0.9954355841,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,2,4,0.3663886783,0.9874154531,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,3,4,0.4102097549,0.9943832803,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,0,1,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,0,2,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,0,3,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,0,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,1,2,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,1,3,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,1,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,2,3,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,2,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,3,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,0,1,0.3107151883,0.958851178,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,0,2,0.3066969927,0.9528406059,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
