dataset_id,method,family,seed,metric,value,threshold,component_pass,n_cells_evaluated,n_sampled_pairs,k,n_definition,evaluation_subset
heart_cell_atlas_subsampled,GLM-PCA,factor,0,global_rank_corr,0.5173644264,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,0,label_neighbor_recall,0.798025,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,0,local_retention,0.050775,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,0,trustworthiness,0.8365554751,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,1,global_rank_corr,0.4521154745,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,1,label_neighbor_recall,0.6093583333,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,1,local_retention,0.03720833333,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,1,trustworthiness,0.754887301,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,2,global_rank_corr,0.5134906126,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,2,label_neighbor_recall,0.8106333333,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,2,local_retention,0.05064166667,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,2,trustworthiness,0.8425883415,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,3,global_rank_corr,0.4976272369,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,3,label_neighbor_recall,0.7502666667,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,3,local_retention,0.04594166667,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,3,trustworthiness,0.8225622059,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,4,global_rank_corr,0.5796916303,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,4,label_neighbor_recall,0.7813916667,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,4,local_retention,0.05005833333,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,4,trustworthiness,0.8344109763,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,0,global_rank_corr,0.7385727893,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,0,label_neighbor_recall,0.706425,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,0,local_retention,0.05186666667,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,0,trustworthiness,0.8159649001,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,1,global_rank_corr,0.7385727893,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,1,label_neighbor_recall,0.706425,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,1,local_retention,0.05186666667,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,1,trustworthiness,0.8159649001,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,2,global_rank_corr,0.7385727893,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,2,label_neighbor_recall,0.706425,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,2,local_retention,0.05186666667,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,2,trustworthiness,0.8159649001,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,3,global_rank_corr,0.7385727893,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,3,label_neighbor_recall,0.706425,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,3,local_retention,0.05186666667,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,3,trustworthiness,0.8159649001,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,4,global_rank_corr,0.7385727893,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,4,label_neighbor_recall,0.706425,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,4,local_retention,0.05186666667,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PCA,factor,4,trustworthiness,0.8159649001,0.9,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PHATE,graph,0,global_rank_corr,0.5349083992,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PHATE,graph,0,label_neighbor_recall,0.9380083333,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PHATE,graph,0,local_retention,0.2033416667,0.3,False,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PHATE,graph,0,trustworthiness,0.9445504847,0.9,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PHATE,graph,1,global_rank_corr,0.518797889,0.45,True,8000,5000,,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
heart_cell_atlas_subsampled,PHATE,graph,1,label_neighbor_recall,0.9423083333,0.55,True,8000,,15,one method-dataset-seed computational run; cells and sampled pairs are not independent biological replicates,complete processed analysis object shared by all methods and seeds within each dataset
