deleted_feature,feature_group,profile,mantel_spearman_rho,delta_rho_from_full,p_exact_two_sided,n_remaining_features
explicit_objective_terms:diffusion_distance,explicit_objective_terms,empirical,0.1663810919,0.00259938455,0.4744047619,16
explicit_objective_terms:diffusion_distance,explicit_objective_terms,simulation,0.5487230159,0.006025188002,0.007886904762,16
explicit_objective_terms:likelihood,explicit_objective_terms,empirical,0.1637817073,0,0.4754960317,16
explicit_objective_terms:likelihood,explicit_objective_terms,simulation,0.5426978279,0,0.007986111111,16
explicit_objective_terms:metric_stress,explicit_objective_terms,empirical,0.1663810919,0.00259938455,0.4744047619,16
explicit_objective_terms:metric_stress,explicit_objective_terms,simulation,0.5487230159,0.006025188002,0.007886904762,16
explicit_objective_terms:pairwise_attraction_repulsion,explicit_objective_terms,empirical,0.1688619293,0.005080221988,0.4659722222,16
explicit_objective_terms:pairwise_attraction_repulsion,explicit_objective_terms,simulation,0.5469790192,0.004281191249,0.007638888889,16
explicit_objective_terms:pairwise_probability,explicit_objective_terms,empirical,0.2184768971,0.05469518983,0.3174603175,16
explicit_objective_terms:pairwise_probability,explicit_objective_terms,simulation,0.5378360333,-0.004861794651,0.007738095238,16
explicit_objective_terms:reconstruction,explicit_objective_terms,empirical,0.2111835979,0.04740189061,0.396031746,16
explicit_objective_terms:reconstruction,explicit_objective_terms,simulation,0.5826747452,0.03997691724,0.006845238095,16
explicit_objective_terms:zero_model_or_imputation,explicit_objective_terms,empirical,0.1637817073,0,0.4754960317,16
explicit_objective_terms:zero_model_or_imputation,explicit_objective_terms,simulation,0.5426978279,0,0.007986111111,16
latent_parameterization:diffusion_then_metric_embedding,latent_parameterization,empirical,0.1663810919,0.00259938455,0.4744047619,16
latent_parameterization:diffusion_then_metric_embedding,latent_parameterization,simulation,0.5487230159,0.006025188002,0.007886904762,16
latent_parameterization:directly_optimized_coordinates,latent_parameterization,empirical,0.2758633535,0.1120816462,0.1716765873,16
latent_parameterization:directly_optimized_coordinates,latent_parameterization,simulation,0.5623128853,0.01961505735,0.004910714286,16
latent_parameterization:linear_generalized_factor,latent_parameterization,empirical,0.1637817073,0,0.4754960317,16
latent_parameterization:linear_generalized_factor,latent_parameterization,simulation,0.5426978279,0,0.007986111111,16
latent_parameterization:linear_orthogonal_factor,latent_parameterization,empirical,0.1634502749,-0.000331432424,0.4753968254,16
latent_parameterization:linear_orthogonal_factor,latent_parameterization,simulation,0.542302492,-0.0003953359779,0.007886904762,16
latent_parameterization:neural_encoder_decoder,latent_parameterization,empirical,0.1679508038,0.00416909647,0.4612103175,16
latent_parameterization:neural_encoder_decoder,latent_parameterization,simulation,0.5320973024,-0.01060052554,0.009375,16
latent_parameterization:recurrent_neural_encoder_decoder,latent_parameterization,empirical,0.1637817073,0,0.4754960317,16
latent_parameterization:recurrent_neural_encoder_decoder,latent_parameterization,simulation,0.5426978279,0,0.007986111111,16
observation_model:exponential_family_count,observation_model,empirical,0.1637817073,0,0.4754960317,16
observation_model:exponential_family_count,observation_model,simulation,0.5426978279,0,0.007986111111,16
observation_model:least_squares,observation_model,empirical,0.1634502749,-0.000331432424,0.4753968254,16
observation_model:least_squares,observation_model,simulation,0.542302492,-0.0003953359779,0.007886904762,16
observation_model:least_squares_autoencoder,observation_model,empirical,0.1681208806,0.004339173277,0.4663690476,16
observation_model:least_squares_autoencoder,observation_model,simulation,0.5800626404,0.0373648125,0.005704365079,16
observation_model:not_explicit,observation_model,empirical,0.01785222394,-0.1459294834,0.9378968254,16
observation_model:not_explicit,observation_model,simulation,0.3100997418,-0.2325980862,0.1639880952,16
