omitted_method,profile,mantel_spearman_rho,p_exact_two_sided,n_methods,n_method_pairs,n_label_permutations
PCA,empirical,0.1309034938,0.6341269841,7,21,5040
PCA,simulation,0.6362191311,0.0126984127,7,21,5040
GLM-PCA,empirical,0.3203111686,0.2091269841,7,21,5040
GLM-PCA,simulation,0.4458568597,0.04841269841,7,21,5040
scScope,empirical,0.4807501754,0.03095238095,7,21,5040
scScope,simulation,0.7087188069,0.009523809524,7,21,5040
SAUCIE,empirical,0.3706106471,0.1888888889,7,21,5040
SAUCIE,simulation,0.6863681054,0.008333333333,7,21,5040
UMAP,empirical,-0.06101048619,0.8206349206,7,21,5040
UMAP,simulation,0.3422539469,0.1388888889,7,21,5040
PHATE,empirical,0.1824957975,0.4714285714,7,21,5040
PHATE,simulation,0.60880021,0.008333333333,7,21,5040
t-SNE,empirical,-0.005952242555,0.9821428571,7,21,5040
t-SNE,simulation,0.3541584321,0.1224206349,7,21,5040
PaCMAP,empirical,-0.08116853172,0.7702380952,7,21,5040
PaCMAP,simulation,0.4721178818,0.03174603175,7,21,5040
