method_a,method_b,jaccard_distance,hamming_distance,empirical_profile_distance,simulation_profile_distance
PCA,GLM-PCA,1,0.3529411765,1.0540287,1.393101387
PCA,scScope,0.875,0.4117647059,2.027637349,1.751328519
PCA,SAUCIE,0.8,0.2352941176,1.350961847,1.336710999
PCA,UMAP,1,0.3529411765,1.979883563,1.499575106
PCA,PHATE,1,0.4117647059,1.457427916,1.063750567
PCA,t-SNE,1,0.3529411765,2.360755737,1.578604496
PCA,PaCMAP,1,0.3529411765,1.728469437,1.618852969
GLM-PCA,scScope,1,0.5294117647,1.306950728,2.366407364
GLM-PCA,SAUCIE,1,0.3529411765,0.8126918387,1.386239185
GLM-PCA,UMAP,1,0.3529411765,1.484821672,2.057206278
GLM-PCA,PHATE,1,0.4117647059,1.145814907,1.566814873
GLM-PCA,t-SNE,1,0.3529411765,2.113568816,2.299036589
GLM-PCA,PaCMAP,1,0.3529411765,1.423729577,1.927239974
scScope,SAUCIE,0.7142857143,0.2941176471,1.49876345,1.794675097
scScope,UMAP,0.7142857143,0.2941176471,1.728151012,1.236527803
scScope,PHATE,1,0.5882352941,1.666354103,1.473705802
scScope,t-SNE,0.7142857143,0.2941176471,2.359645186,1.042157469
scScope,PaCMAP,0.875,0.4117647059,1.988407148,1.629763637
SAUCIE,UMAP,1,0.3529411765,1.118810468,1.507382143
SAUCIE,PHATE,1,0.4117647059,0.7850253893,1.231266456
SAUCIE,t-SNE,1,0.3529411765,1.658688259,1.771829458
SAUCIE,PaCMAP,1,0.3529411765,1.113453033,1.460509734
UMAP,PHATE,0.8333333333,0.2941176471,0.9722025046,0.7751079855
UMAP,t-SNE,0,0,0.9558200255,0.8416354818
UMAP,PaCMAP,0.5,0.1176470588,0.7137453956,0.7299942483
PHATE,t-SNE,0.8333333333,0.2941176471,1.504366845,1.204922313
PHATE,PaCMAP,0.8333333333,0.2941176471,1.01500855,0.7702738746
t-SNE,PaCMAP,0.5,0.1176470588,0.9568888184,1.375576172
