signature_definition,binary_distance,profile,mantel_spearman_rho,p_exact_two_sided,n_methods,n_method_pairs,n_label_permutations,n_binary_features,n_unique_signatures,fraction_pairs_at_maximum_distance
full_pipeline_jaccard,jaccard,empirical,0.1637817073,0.4754960317,8,28,40320,17,7,0.5714285714
full_pipeline_jaccard,jaccard,simulation,0.5426978279,0.007986111111,8,28,40320,17,7,0.5714285714
full_pipeline_hamming,hamming,empirical,0.27552516,0.2188492063,8,28,40320,17,7,0.03571428571
full_pipeline_hamming,hamming,simulation,0.5294181792,0.009722222222,8,28,40320,17,7,0.03571428571
objective_terms_only,jaccard,empirical,-0.1712934751,0.4452380952,8,28,40320,7,6,0.7857142857
objective_terms_only,jaccard,simulation,0.163646445,0.4738095238,8,28,40320,7,6,0.7857142857
observation_model_only,jaccard,empirical,0.4441609073,0.04047619048,8,28,40320,4,4,0.75
observation_model_only,jaccard,simulation,0.5054244807,0.01666666667,8,28,40320,4,4,0.75
latent_parameterisation_only,jaccard,empirical,0.1245468341,0.5928571429,8,28,40320,6,6,0.7857142857
latent_parameterisation_only,jaccard,simulation,0.4068784611,0.07857142857,8,28,40320,6,6,0.7857142857
observation_plus_parameterisation,jaccard,empirical,0.2732456468,0.28125,8,28,40320,10,6,0.6428571429
observation_plus_parameterisation,jaccard,simulation,0.5939008549,0.006547619048,8,28,40320,10,6,0.6428571429
without_not_explicit,jaccard,empirical,0.01785222394,0.9378968254,8,28,40320,16,7,0.6785714286
without_not_explicit,jaccard,simulation,0.3100997418,0.1639880952,8,28,40320,16,7,0.6785714286
legacy_scscope_stage_omitted,jaccard,empirical,0.3802621891,0.03611111111,8,28,40320,17,7,0.6785714286
legacy_scscope_stage_omitted,jaccard,simulation,0.4404428138,0.0212797619,8,28,40320,17,7,0.6785714286
execution_input_baseline,jaccard,empirical,0.4956562743,0.04285714286,8,28,40320,5,5,0.7857142857
execution_input_baseline,jaccard,simulation,0.6357330474,0.01428571429,8,28,40320,5,5,0.7857142857
navigation_group_baseline,jaccard,empirical,0.2779692826,0.04761904762,8,28,40320,4,4,0.8571428571
navigation_group_baseline,jaccard,simulation,0.08844477175,0.6380952381,8,28,40320,4,4,0.8571428571
