method,family,metric,dimension_delta
PCA,factor,global_rank_corr,0.24390009695892576
PCA,factor,label_neighbor_recall,0.19481189383090447
PCA,factor,local_retention,0.26850746141441745
PCA,factor,trustworthiness,0.14990752036348054
PHATE,graph,global_rank_corr,0.017128565224950335
PHATE,graph,label_neighbor_recall,0.021452261860791036
PHATE,graph,local_retention,0.0302223205086548
PHATE,graph,trustworthiness,0.025977319113422066
PaCMAP,relational,global_rank_corr,0.009149948220390301
PaCMAP,relational,label_neighbor_recall,0.014898758463618067
PaCMAP,relational,local_retention,0.05300740191490753
PaCMAP,relational,trustworthiness,0.032759554136153037
UMAP,graph,global_rank_corr,0.03893299300736697
UMAP,graph,label_neighbor_recall,0.0164539580095304
UMAP,graph,local_retention,0.12420106130987484
UMAP,graph,trustworthiness,0.04364306077256553


