weakest_evidence_layer,minimum_support,mean_support,method,family
biological anchors,0.375,0.5091991341991342,PCA,factor
empirical gates,0.5454545454545454,0.7115800865800866,GLM-PCA,factor
empirical gates,0.0,0.0,scScope,deep
empirical gates,0.5454545454545454,0.5925324675324676,SAUCIE,deep
empirical gates,0.36363636363636365,0.6331168831168831,UMAP,graph
mechanism simulations,0.5,0.6818181818181818,PHATE,graph
mechanism simulations,0.5,0.6818181818181818,t-SNE,relational
empirical gates,0.45454545454545453,0.6634199134199134,PaCMAP,relational


