method,family,support_fraction,n_rows,evidence_layer
PCA,factor,0.5454545454545454,11,empirical gates
PCA,factor,0.375,16,biological anchors
PCA,factor,0.6071428571428571,28,mechanism simulations
GLM-PCA,factor,0.5454545454545454,11,empirical gates
GLM-PCA,factor,0.875,16,biological anchors
GLM-PCA,factor,0.7142857142857143,28,mechanism simulations
scScope,deep,0.0,11,empirical gates
scScope,deep,0.0,16,biological anchors
scScope,deep,0.0,28,mechanism simulations
SAUCIE,deep,0.5454545454545454,11,empirical gates
SAUCIE,deep,0.625,16,biological anchors
SAUCIE,deep,0.6071428571428571,28,mechanism simulations
UMAP,graph,0.36363636363636365,11,empirical gates
UMAP,graph,1.0,16,biological anchors
UMAP,graph,0.5357142857142857,28,mechanism simulations
PHATE,graph,0.5454545454545454,11,empirical gates
PHATE,graph,1.0,16,biological anchors
PHATE,graph,0.5,28,mechanism simulations
t-SNE,relational,0.5454545454545454,11,empirical gates
t-SNE,relational,1.0,16,biological anchors
t-SNE,relational,0.5,28,mechanism simulations
PaCMAP,relational,0.45454545454545453,11,empirical gates
PaCMAP,relational,1.0,16,biological anchors
PaCMAP,relational,0.5357142857142857,28,mechanism simulations


