method,family,claim_axis,support_fraction,n_rows
PCA,factor,truth_geometry,0.5,18
PCA,factor,cell_state_support,1.0,6
PCA,factor,continuum_support,0.5,2
PCA,factor,rare_state_support,1.0,1
PCA,factor,batch_biology_tradeoff,0.0,1
GLM-PCA,factor,truth_geometry,0.6111111111111112,18
GLM-PCA,factor,cell_state_support,1.0,6
GLM-PCA,factor,continuum_support,0.5,2
GLM-PCA,factor,rare_state_support,1.0,1
GLM-PCA,factor,batch_biology_tradeoff,1.0,1
scScope,deep,truth_geometry,0.0,18
scScope,deep,cell_state_support,0.0,6
scScope,deep,continuum_support,0.0,2
scScope,deep,rare_state_support,0.0,1
scScope,deep,batch_biology_tradeoff,0.0,1
SAUCIE,deep,truth_geometry,0.4444444444444444,18
SAUCIE,deep,cell_state_support,1.0,6
SAUCIE,deep,continuum_support,1.0,2
SAUCIE,deep,rare_state_support,1.0,1
SAUCIE,deep,batch_biology_tradeoff,0.0,1
UMAP,graph,truth_geometry,0.3333333333333333,18
UMAP,graph,cell_state_support,1.0,6
UMAP,graph,continuum_support,1.0,2
UMAP,graph,rare_state_support,1.0,1
UMAP,graph,batch_biology_tradeoff,0.0,1
PHATE,graph,truth_geometry,0.3333333333333333,18
PHATE,graph,cell_state_support,1.0,6
PHATE,graph,continuum_support,0.5,2
PHATE,graph,rare_state_support,1.0,1
PHATE,graph,batch_biology_tradeoff,0.0,1
t-SNE,relational,truth_geometry,0.3333333333333333,18
t-SNE,relational,cell_state_support,1.0,6
t-SNE,relational,continuum_support,0.5,2
t-SNE,relational,rare_state_support,1.0,1
t-SNE,relational,batch_biology_tradeoff,0.0,1
PaCMAP,relational,truth_geometry,0.3333333333333333,18
PaCMAP,relational,cell_state_support,1.0,6
PaCMAP,relational,continuum_support,1.0,2
PaCMAP,relational,rare_state_support,1.0,1
PaCMAP,relational,batch_biology_tradeoff,0.0,1


