dataset_id,field_role,field,level,n_cells,fraction
pbmc3k,label,louvain,CD4 T cells,1144,0.4336618650492798
pbmc3k,label,louvain,CD14+ Monocytes,480,0.1819560272934041
pbmc3k,label,louvain,B cells,342,0.1296436694465504
pbmc3k,label,louvain,CD8 T cells,316,0.1197877179681577
pbmc3k,label,louvain,NK cells,154,0.0583775587566338
pbmc3k,label,louvain,FCGR3A+ Monocytes,150,0.0568612585291887
pbmc3k,label,louvain,Dendritic cells,37,0.0140257771038665
pbmc3k,label,louvain,Megakaryocytes,15,0.0056861258529188
paul15,label,paul15_clusters,14Mo,373,0.1366300366300366
paul15,label,paul15_clusters,2Ery,329,0.1205128205128205
paul15,label,paul15_clusters,13Baso,300,0.1098901098901098
paul15,label,paul15_clusters,3Ery,246,0.0901098901098901
paul15,label,paul15_clusters,15Mo,186,0.0681318681318681
paul15,label,paul15_clusters,5Ery,180,0.0659340659340659
paul15,label,paul15_clusters,6Ery,173,0.0633699633699633
paul15,label,paul15_clusters,7MEP,167,0.0611721611721611
paul15,label,paul15_clusters,16Neu,164,0.06007326007326
paul15,label,paul15_clusters,10GMP,153,0.056043956043956
paul15,label,paul15_clusters,4Ery,124,0.0454212454212454
paul15,label,paul15_clusters,12Baso,69,0.0252747252747252
paul15,label,paul15_clusters,8Mk,68,0.0249084249084249
paul15,label,paul15_clusters,9GMP,63,0.023076923076923
paul15,label,paul15_clusters,1Ery,43,0.0157509157509157
paul15,label,paul15_clusters,19Lymph,31,0.0113553113553113
paul15,label,paul15_clusters,11DC,30,0.0109890109890109
paul15,label,paul15_clusters,17Neu,22,0.008058608058608
paul15,label,paul15_clusters,18Eos,9,0.0032967032967032
heart_cell_atlas_subsampled,label,cell_type,Ventricular_Cardiomyocyte,5307,0.2846950270908213
heart_cell_atlas_subsampled,label,cell_type,Endothelial,4109,0.220428088621855
heart_cell_atlas_subsampled,label,cell_type,Pericytes,3204,0.1718791910305241
heart_cell_atlas_subsampled,label,cell_type,Fibroblast,2446,0.1312161364733651
heart_cell_atlas_subsampled,label,cell_type,Atrial_Cardiomyocyte,1009,0.0541279974250308
heart_cell_atlas_subsampled,label,cell_type,Myeloid,957,0.0513384475081808
